Signature,Experiments,Sensitivity,ood.f1__mean,ood.f1__std,ood.precision__mean,ood.precision__std,ood.recall__mean,ood.recall__std
37133d18,"stage6_065, stage6_077, stage6_089",1.0,0.82,0.077,0.77,0.169,0.909,0.084
3366d4cd,"stage6_060, stage6_072, stage6_084",1.0,0.789,0.035,0.665,0.056,0.976,0.018
06c0b100,"stage6_008, stage6_026, stage6_044",1.0,0.779,0.037,0.844,0.168,0.77,0.185
2b2868a0,"stage6_058, stage6_070, stage6_082",1.0,0.781,0.049,0.656,0.078,0.972,0.024
6045f3bb,"stage6_009, stage6_027, stage6_045",1.0,0.775,0.027,0.937,0.017,0.662,0.047
5ca7cc07,"stage6_017, stage6_035, stage6_053",1.0,0.777,0.045,0.923,0.061,0.678,0.095
b706d1f8,"stage6_002, stage6_020, stage6_038",1.0,0.768,0.043,0.883,0.092,0.694,0.118
23f11c40,"stage6_003, stage6_021, stage6_039",1.0,0.769,0.064,0.988,0.012,0.633,0.092
8ff5e4f5,"stage6_059, stage6_071, stage6_083",1.0,0.757,0.027,0.612,0.036,0.996,0.006
81899e47,"stage6_007, stage6_025, stage6_043",1.0,0.752,0.013,0.976,0.036,0.612,0.022
3edb394e,"stage6_064, stage6_076, stage6_088",1.0,0.767,0.105,0.701,0.217,0.909,0.116
a848c02d,"stage6_013, stage6_031, stage6_049",1.0,0.743,0.025,0.868,0.096,0.66,0.086
4712d7d9,"stage6_066, stage6_078, stage6_090",1.0,0.755,0.09,0.648,0.182,0.953,0.081
c66aba25,"stage6_018, stage6_036, stage6_054",1.0,0.749,0.064,0.92,0.098,0.652,0.156
d22aa059,"stage6_061, stage6_073, stage6_085",1.0,0.748,0.066,0.854,0.082,0.684,0.139
10b96415,"stage6_006, stage6_024, stage6_042",1.0,0.733,0.026,0.852,0.206,0.703,0.21
ee0a50e6,"stage6_005, stage6_023, stage6_041",1.0,0.729,0.011,0.943,0.092,0.6,0.054
dd37eaf0,"stage6_004, stage6_022, stage6_040",1.0,0.735,0.049,0.953,0.057,0.605,0.094
676d61bd,"stage6_001, stage6_019, stage6_037",1.0,0.732,0.057,0.855,0.137,0.675,0.185
77fca307,"stage6_015, stage6_033, stage6_051",1.0,0.722,0.041,0.777,0.194,0.738,0.212
3c7fa7cc,"stage6_011, stage6_029, stage6_047",1.0,0.72,0.067,0.76,0.262,0.775,0.203
1d24c9a1,"stage6_062, stage6_074, stage6_086",1.0,0.706,0.023,0.866,0.198,0.643,0.186
9164cef2,"stage6_010, stage6_028, stage6_046",1.0,0.706,0.037,0.831,0.265,0.697,0.224
e4e912af,"stage6_014, stage6_032, stage6_050",1.0,0.693,0.013,0.993,0.011,0.532,0.019
5dcf1581,"stage6_016, stage6_034, stage6_052",1.0,0.696,0.056,0.82,0.301,0.713,0.251
f3054230,"stage6_057, stage6_069, stage6_081",1.0,0.692,0.045,0.835,0.178,0.644,0.215
e92bf5b2,"stage6_012, stage6_030, stage6_048",1.0,0.692,0.049,0.696,0.272,0.818,0.248
ddc58a37,"stage6_063, stage6_075, stage6_087",1.0,0.679,0.045,0.723,0.264,0.753,0.25
58defcb5,"stage6_055, stage6_067, stage6_079",1.0,0.646,0.009,0.63,0.273,0.835,0.286
102d220d,"stage6_056, stage6_068, stage6_080",1.0,0.645,0.005,0.822,0.303,0.653,0.301
