Signature,Experiments,Sensitivity,iid.f1__mean,iid.f1__std,iid.precision__mean,iid.precision__std,iid.recall__mean,iid.recall__std
3e91f744,stage22_005,1.5,0.858,0.0,0.952,0.0,0.781,0.0
6848ac7a,stage22_004,1.25,0.858,0.0,0.952,0.0,0.781,0.0
56fe13e7,stage22_003,1.0,0.819,0.0,0.986,0.0,0.7,0.0
10da48df,stage22_001,0.5,0.8,0.0,0.667,0.0,1.0,0.0
af3ae860,stage22_002,0.75,0.8,0.0,0.667,0.0,1.0,0.0
