Signature,Experiments,ood.f1__mean,ood.f1__std,ood.precision__mean,ood.precision__std,ood.recall__mean,ood.recall__std
4e9421f5,"stage11_008, stage11_018, stage11_028",0.816,0.025,0.861,0.051,0.777,0.031
81899e47,"stage11_034, stage11_035, stage11_036",0.821,0.05,0.844,0.09,0.803,0.07
dd37eaf0,"stage11_031, stage11_032, stage11_033",0.794,0.018,0.878,0.081,0.733,0.073
10b96415,"stage11_003, stage11_013, stage11_023",0.787,0.016,0.838,0.083,0.756,0.107
686da192,"stage11_002, stage11_012, stage11_022",0.781,0.051,0.961,0.04,0.664,0.095
6045f3bb,"stage11_007, stage11_017, stage11_027",0.78,0.052,0.945,0.06,0.674,0.114
51d27c81,"stage11_004, stage11_014, stage11_024",0.776,0.05,0.917,0.061,0.682,0.106
6df90972,"stage11_009, stage11_019, stage11_029",0.762,0.047,0.867,0.051,0.689,0.1
8fd922b7,"stage11_010, stage11_020, stage11_030",0.755,0.023,0.915,0.126,0.66,0.115
f666dbdf,"stage11_006, stage11_016, stage11_026",0.755,0.037,0.809,0.141,0.731,0.113
95273e3c,"stage11_005, stage11_015, stage11_025",0.742,0.012,0.938,0.083,0.619,0.054
23f11c40,"stage11_001, stage11_011, stage11_021",0.733,0.03,0.939,0.048,0.605,0.06
de11096d,"stage11_037, stage11_038, stage11_039",0.721,0.012,0.941,0.066,0.587,0.043
