experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,dataset.counts_selected.pos,dataset.counts_selected.neg,dataset.breakdown_selected.positive_quality.high,dataset.breakdown_selected.positive_quality.medium,dataset.breakdown_selected.positive_call_type.growl,dataset.breakdown_selected.positive_call_type.grunt,dataset.breakdown_selected.negative_total,metrics.iid.default_0.5.threshold,metrics.iid.default_0.5.precision,metrics.iid.default_0.5.recall,metrics.iid.default_0.5.f1,metrics.iid.default_0.5.accuracy,metrics.iid.default_0.5.tp,metrics.iid.default_0.5.fp,metrics.iid.default_0.5.fn,metrics.iid.default_0.5.tn,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.best_f1.tp,metrics.iid.best_f1.fp,metrics.iid.best_f1.fn,metrics.iid.best_f1.tn,metrics.iid.high_precision.threshold,metrics.iid.high_precision.precision,metrics.iid.high_precision.recall,metrics.iid.high_precision.f1,metrics.iid.high_precision.accuracy,metrics.iid.high_precision.tp,metrics.iid.high_precision.fp,metrics.iid.high_precision.fn,metrics.iid.high_precision.tn,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.default_0.5.threshold,metrics.ood.default_0.5.precision,metrics.ood.default_0.5.recall,metrics.ood.default_0.5.f1,metrics.ood.default_0.5.accuracy,metrics.ood.default_0.5.tp,metrics.ood.default_0.5.fp,metrics.ood.default_0.5.fn,metrics.ood.default_0.5.tn,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.best_f1.tp,metrics.ood.best_f1.fp,metrics.ood.best_f1.fn,metrics.ood.best_f1.tn,metrics.ood.high_precision.threshold,metrics.ood.high_precision.precision,metrics.ood.high_precision.recall,metrics.ood.high_precision.f1,metrics.ood.high_precision.accuracy,metrics.ood.high_precision.tp,metrics.ood.high_precision.fp,metrics.ood.high_precision.fn,metrics.ood.high_precision.tn,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,metadata.hostname,metadata.user,__exp_path,metrics.iid.high_precision,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,dataset.breakdown_selected.positive_quality.low,dataset.breakdown_selected.positive_call_type.both,metrics.ood.high_precision,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training.dropout,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio,training_args.batch_size,training_args.focal_loss,training_args.epochs
09_autotune_conf075,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.0,0.0,0.0,0.684,0,0,908,1962,1.0,0.958,0.432,0.595,0.814,392,17,516,1945,1.0,0.958,0.432,0.595,0.814,392.0,17.0,516.0,1945.0,0.712,0.79,0.5,0.0,0.0,0.0,0.486,0,0,1789,1691,1.0,0.981,0.171,0.291,0.572,306,6,1483,1685,1.0,0.981,0.171,0.291,0.572,306.0,6.0,1483.0,1685.0,0.584,0.532,2025-09-05T04:44:48.410898Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\09_autotune_conf075,,,,,,,1568.0,1395.0,,,,,,,,,,,,,,,,,
10_autotune_conf090,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.0,0.0,0.0,0.995,0,0,9,1768,0.95,0.286,0.222,0.25,0.993,2,5,7,1763,,,,,,,,,,0.924,0.999,0.5,0.0,0.0,0.0,0.884,0,0,172,1305,1.0,0.329,0.547,0.41,0.817,94,192,78,1113,,,,,,,,,,0.703,0.931,2025-09-05T05:36:39.187312Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\10_autotune_conf090,,,,,,,1568.0,1395.0,,,,,,,,,,,,,,,,,
11_autotune_quality,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,2017.0,2017.0,245.0,1772.0,82.0,1157.0,2017.0,0.5,0.416,0.139,0.209,0.642,160,225,989,2018,1.0,0.481,0.878,0.621,0.637,1009,1090,140,1153,,,,,,,,,,0.686,0.817,0.5,0.376,0.034,0.062,0.471,67,111,1899,1724,1.0,0.525,0.485,0.504,0.507,954,862,1012,973,,,,,,,,,,0.498,0.485,2025-09-05T06:09:31.021099Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\11_autotune_quality,,,,,,,,778.0,,,,,,,,,,,,,,,,,
12_autotune_focal,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.994,0.232,0.376,0.682,321,2,1065,1964,1.0,0.988,0.812,0.892,0.918,1126,14,260,1952,1.0,0.988,0.812,0.892,0.918,1126.0,14.0,260.0,1952.0,0.904,0.882,0.5,0.997,0.132,0.232,0.503,298,1,1967,1692,1.0,0.993,0.535,0.695,0.732,1211,8,1054,1685,1.0,0.993,0.535,0.695,0.732,1211.0,8.0,1054.0,1685.0,0.765,0.615,2025-09-05T06:55:48.577290Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\12_autotune_focal,,,,,,,1568.0,1395.0,,,,True,,,,,,,,,,,,,
13_autotune_bandpass,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.868,0.09,0.164,0.613,132,20,1328,2004,1.0,0.875,0.435,0.581,0.737,635,91,825,1933,,,,,,,,,,0.694,0.698,0.5,0.966,0.058,0.109,0.442,141,5,2311,1695,1.0,0.978,0.272,0.426,0.566,667,15,1785,1685,1.0,0.978,0.272,0.426,0.566,667.0,15.0,1785.0,1685.0,0.632,0.485,2025-09-05T07:45:47.750312Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\13_autotune_bandpass,,0.0,6000.0,0.0,6000.0,,1568.0,1395.0,,,,,,,,,,,,,,,,,
14_autotune_loose,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.696,0.213,0.326,0.677,254,111,941,1947,1.0,0.695,0.905,0.787,0.82,1082,474,113,1584,,,,,,,,,,0.849,0.896,0.5,0.907,0.367,0.523,0.593,1012,104,1742,1679,1.0,0.78,0.945,0.854,0.804,2603,736,151,1047,0.9,0.902,0.557,0.689,0.694,1534.0,167.0,1220.0,1616.0,0.853,0.789,2025-09-05T08:38:21.287496Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\14_autotune_loose,,,,,,,1568.0,1395.0,,,,,,,,,,,,,,,,,
baseline_strong,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,2017.0,2017.0,245.0,1772.0,82.0,1157.0,2017.0,0.5,0.0,0.0,0.0,0.669,0,0,990,2005,1.0,0.151,0.021,0.037,0.637,21,118,969,1887,,,,,,,,,,0.481,0.661,0.5,0.0,0.0,0.0,0.479,0,0,1898,1748,1.0,0.041,0.002,0.004,0.455,4,94,1894,1654,,,,,,,,,,0.474,0.467,2025-09-06T01:55:49.976216Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\baseline_strong,,,,,,1.0,,778.0,,0.5,0.5,,,,,,,,,,,,,,
16_quality_loose,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['low', 'medium', 'high']",,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.0,0.0,0.0,0.652,0,0,1067,1997,1.0,0.848,0.319,0.463,0.743,340,61,727,1936,,,,,,,,,,0.643,0.726,0.5,0.0,0.0,0.0,0.45,0,0,2072,1696,1.0,0.967,0.225,0.366,0.57,467,16,1605,1680,1.0,0.967,0.225,0.366,0.57,467.0,16.0,1605.0,1680.0,0.608,0.511,2025-09-06T04:34:16.600247Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\16_quality_loose,,,,,,1.0,1568.0,1395.0,,0.5,0.5,,,,,,,,,,,,,,
17_quality_highonly,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],,data\splits,['train'],data\manifest.csv,123.0,245.0,245.0,245.0,,6.0,139.0,245.0,0.5,0.0,0.0,0.0,0.663,0,0,1091,2145,1.0,0.277,0.724,0.401,0.269,790,2063,301,82,,,,,,,,,,0.409,0.583,0.5,0.0,0.0,0.0,0.498,0,0,1997,1983,1.0,0.345,0.399,0.37,0.319,796,1510,1201,473,,,,,,,,,,0.281,0.379,2025-09-06T04:45:27.649577Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\17_quality_highonly,,,,,,1.0,,100.0,,0.5,0.5,,,,,,,,,,,,,,
18_overlap_025,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,2017.0,2017.0,245.0,1772.0,82.0,1157.0,2017.0,0.5,0.0,0.0,0.0,0.657,0,0,978,1870,1.0,0.026,0.005,0.009,0.592,5,188,973,1682,,,,,,,,,,0.452,0.635,0.5,0.0,0.0,0.0,0.445,0,0,1894,1516,1.0,0.121,0.015,0.027,0.391,29,210,1865,1306,,,,,,,,,,0.438,0.414,2025-09-06T05:02:01.816207Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\18_overlap_025,,,,,,1.0,,778.0,,0.25,0.25,,,,,,,,,,,,,,
