Signature,Experiments,Quality,Sensitivity,fmax__mean,fmax__std,ood.f1__mean,ood.f1__std,ood.precision__mean,ood.precision__std,ood.recall__mean,ood.recall__std
30158ca0,"stage19_004, stage19_005, stage19_006","high, medium, low",1.0,2000.0,,0.881,0.008,0.888,0.044,0.876,0.028
1085a4de,"stage19_001, stage19_002, stage19_003","high, medium, low",1.0,2000.0,,0.759,0.07,0.621,0.103,0.989,0.015
