Signature,Experiments,Sensitivity,iid.f1__mean,iid.f1__std,iid.precision__mean,iid.precision__std,iid.recall__mean,iid.recall__std
126960f3,stage21_004,1.25,0.973,0.0,0.997,0.0,0.95,0.0
6d88b249,stage21_005,1.5,0.973,0.0,0.997,0.0,0.95,0.0
11c63063,stage21_003,1.0,0.971,0.0,0.997,0.0,0.946,0.0
865f4c99,stage21_002,0.75,0.97,0.0,0.998,0.0,0.944,0.0
e294f132,stage21_001,0.5,0.97,0.0,0.998,0.0,0.944,0.0
