Signature,Experiments,Quality,Use Validation,Positive Subsets,Negative Subsets,ood.f1__mean,ood.f1__std,ood.precision__mean,ood.precision__std,ood.recall__mean,ood.recall__std
6df90972,"stage9_023, stage9_047, stage9_071","high, medium",False,large,hardneg_conf_min_99,0.774,0.022,0.944,0.012,0.656,0.037
6045f3bb,"stage9_014, stage9_038, stage9_062","high, medium",False,XL,hardneg_conf_min_99,0.773,0.05,0.955,0.031,0.654,0.084
10b96415,"stage9_017, stage9_041, stage9_065","high, medium",False,small,hardneg_conf_min_99,0.771,0.049,0.944,0.086,0.664,0.123
95273e3c,"stage9_020, stage9_044, stage9_068","high, medium",False,medium,hardneg_conf_min_99,0.735,0.016,0.958,0.011,0.597,0.02
3366d4cd,"stage6_060, stage6_072, stage6_084","high, medium, low",False,none,hardneg_conf_min_99,0.789,0.035,0.665,0.056,0.976,0.018
23f11c40,"stage6_003, stage6_021, stage6_039","high, medium",False,none,hardneg_conf_min_99,0.769,0.064,0.988,0.012,0.633,0.092
f3054230,"stage6_057, stage6_069, stage6_081",high,False,none,hardneg_conf_min_99,0.692,0.045,0.835,0.178,0.644,0.215
